,,DS0,DS1,DS2
1,173,73,28,0
2,84,88,13,0
3,88,95,6,0
4,172,43,58,0
5,85,101,0,0
6,13,101,0,0
7,121,62,39,0
8,228,7,94,0
9,328,0,87,14
10,580,0,41,60
11,238,1,86,14
12,231,10,86,5
13,140,29,72,0
14,133,94,7,0
15,265,16,85,0
16,179,71,30,0
17,77,101,0,0
18,280,18,83,0
19,156,59,42,0
20,229,8,93,0
21,60,101,0,0
22,46,97,4,0
23,435,9,92,0
24,154,53,48,0
25,87,80,21,0
26,246,21,80,0
27,124,63,38,0
28,361,4,94,3
29,469,3,58,40
30,11,101,0,0
31,7,101,0,0
32,88,85,16,0
33,66,99,2,0
34,34,99,2,0
35,583,0,21,80
36,39,101,0,0
37,172,45,56,0
38,150,36,65,0
39,339,2,99,0
40,273,30,71,0
41,254,7,92,2
42,209,38,63,0
43,430,2,68,31
44,264,1,99,1
45,355,9,91,1
46,432,0,64,37
47,268,25,76,0
48,525,0,5,96
49,432,7,79,15
50,68,92,9,0
51,318,2,96,3
52,265,13,88,0
53,670,0,16,85
54,262,2,82,17
55,202,3,98,0
56,222,0,68,33
57,386,1,70,30
58,132,57,44,0
59,258,14,87,0
60,319,5,95,1
61,490,0,28,73
62,870,0,1,100
63,333,0,59,42
64,168,11,90,0
65,371,6,93,2
66,336,6,95,0
67,234,26,52,23
68,90,98,3,0
69,370,2,96,3
70,437,3,66,32