rec,Sa,DS0,DS1,DS2,DS3
1,0.901049949,8,3,1,88
2,0.927013252,8,2,12,78
3,0.476585117,31,69,0,0
4,0.196625892,100,0,0,0
5,0.743965341,18,59,7,16
6,0.846442406,14,8,30,48
7,0.058357798,100,0,0,0
8,0.909918451,36,12,23,29
9,0.70872579,34,10,40,16
10,0.437726809,70,29,0,1
11,0.173261978,100,0,0,0
12,0.109949032,100,0,0,0
13,0.224495413,99,1,0,0
14,0.119123344,100,0,0,0
15,0.08387156,100,0,0,0
16,0.209123344,100,0,0,0
17,0.138287462,100,0,0,0
18,0.182262997,93,5,0,2
19,0.120998981,100,0,0,0
20,0.333955148,95,5,0,0
21,0.145973496,100,0,0,0
22,0.251427115,100,0,0,0
23,0.079215087,100,0,0,0
24,0.228470948,100,0,0,0
25,0.424750255,69,29,1,1
26,1.332212029,3,0,0,97
27,1.106218145,3,0,0,97
28,0.041570846,100,0,0,0
29,0.672466871,32,13,33,22
30,0.390917431,55,44,1,0
31,0.447971458,68,20,6,6
32,0.36038736,51,23,15,11
33,0.38058104,53,44,1,2
34,0.951569827,19,12,33,36
35,0.853577982,22,3,28,47
36,0.082529052,100,0,0,0
37,0.130621814,100,0,0,0
38,0.127594292,100,0,0,0
39,0.654699286,21,78,1,0
40,0.116167176,100,0,0,0
41,0.091429154,100,0,0,0
42,0.063118247,100,0,0,0
43,0.034879715,100,0,0,0
44,0.200336391,100,0,0,0
45,0.101272171,100,0,0,0
46,0.28803262,86,12,1,1
47,0.422945973,80,17,1,2
48,0.086998981,100,0,0,0
49,0.160876656,99,1,0,0
50,0.070423038,100,0,0,0
51,0.38872579,84,16,0,0
52,0.553455657,31,64,2,3
53,0.461814475,84,16,0,0
54,0.193343527,100,0,0,0
55,0.083085627,100,0,0,0
56,0.077727829,100,0,0,0
57,0.157686035,100,0,0,0
58,0.014699286,100,0,0,0
59,0.120978593,100,0,0,0
60,0.472487258,17,58,20,5
61,0.368012232,48,50,1,1
62,0.081417941,100,0,0,0
63,0.131814475,100,0,0,0
64,0.148858308,100,0,0,0
65,0.817013252,29,34,23,14
66,0.074817533,100,0,0,0
67,0.305392457,100,0,0,0
68,0.080728848,100,0,0,0
69,0.859673802,14,7,6,73
70,0.858012232,16,28,41,15